Luís,Gonçalves,7,39.62
Leonie,Köhler,7,37.62
François,Tremblay,7,39.62
Bjørn,Hansen,7,39.62
František,Wichterlová,7,40.62
Helena,Holý,7,49.62
Astrid,Gruber,7,42.62
Daan,Peeters,7,37.62
Kara,Nielsen,7,37.62
Eduardo,Martins,7,37.62
Alexandre,Rocha,7,37.62
Roberto,Almeida,7,37.62
Fernanda,Ramos,7,37.62
Mark,Philips,7,37.62
Jennifer,Peterson,7,38.62
Frank,Harris,7,37.62
Jack,Smith,7,39.62
Michelle,Brooks,7,37.62
Tim,Goyer,7,38.62
Dan,Miller,7,39.62
Kathy,Chase,7,37.62
Heather,Leacock,7,39.62
John,Gordon,7,37.62
Frank,Ralston,7,43.62
Victor,Stevens,7,42.62
Richard,Cunningham,7,47.62
Patrick,Gray,7,37.62
Julia,Barnett,7,43.62
Robert,Brown,7,37.62
Edward,Francis,7,37.62
Martha,Silk,7,37.62
Aaron,Mitchell,7,37.62
Ellie,Sullivan,7,37.62
João,Fernandes,7,39.62
Madalena,Sampaio,7,37.62
Hannah,Schneider,7,37.62
Fynn,Zimmermann,7,43.62
Niklas,Schröder,7,37.62
Camille,Bernard,7,38.62
Dominique,Lefebvre,7,38.62
Marc,Dubois,7,37.62
Wyatt,Girard,7,39.62
Isabelle,Mercier,7,40.62
Terhi,Hämäläinen,7,41.62
Ladislav,Kovács,7,45.62
Hugh,O'Reilly,7,45.62
Lucas,Mancini,7,37.62
Johannes,Van der Berg,7,40.62
Stanislaw,Wójcik,7,37.62
Enrique,Muñoz,7,37.62
Joakim,Johansson,7,38.62
Emma,Jones,7,37.62
Phil,Hughes,7,37.62
Steve,Murray,7,37.62
Mark,Taylor,7,37.62
Diego,Gutiérrez,7,37.62
Luis,Rojas,7,46.62
Manoj,Pareek,7,38.62
Puja,Srivastava,6,36.64
